id,name,cuisine,type,price,romeOk,takeout,speedRating,hours,address,note,lineWarning,closedDays,specialRule,cravingMatch,photo,delivery,dineIn,familyFriendly,outdoorSeating,neighborhood,phone,website,lat,lng,priorityScore,lastVerified,status
gotts,Gott's Roadside,Burgers / American,"[""lunch"",""dinner""]",2,true,false,Medium,"{""mon"":[11,21],""tue"":[11,21],""wed"":[11,21],""thu"":[11,21],""fri"":[11,21],""sat"":[11,21],""sun"":[11,21]}","644 1st St, Napa · Oxbow","Family friendly, outdoor seating, dogs ok.",false,[],,"[""burgers""]",,false,true,true,true,Oxbow,,,,,1,2026-04-20,active
smallworld,Small World,Middle Eastern,"[""breakfast"",""lunch"",""dinner""]",1,true,true,Fast,"{""mon"":[9,20.5],""tue"":[9,20.5],""wed"":[9,20.5],""thu"":[9,20.5],""fri"":[9,20.5],""sat"":[9,19.5],""sun"":null}","932 Coombs St, Napa","Family tradition. Get the lamb gyro.",false,"[""sun""]",,"[""mediterranean""]",smallworld.png,false,true,true,false,Downtown,,,,,4,2026-04-20,active
papajoes,Papa Joe's Pizza,Pizza,"[""lunch"",""dinner""]",1,true,true,Fast,"{""mon"":[11,21.5],""tue"":[11,21.5],""wed"":[11,21.5],""thu"":[11,21.5],""fri"":[11,22.5],""sat"":[11,22.5],""sun"":[11,21.5]}","1121 Lincoln Ave, Napa","Best pizza in town. Order ahead.",false,[],,"[""pizza""]",papajoe.png,false,true,true,false,Downtown,,,,,2,2026-04-20,active
amami,Amami,Japanese / Sushi,"[""lunch"",""dinner""]",3,true,false,Sit-down,"{""mon"":[[11.5,15],[17,21.5]],""tue"":[[11.5,15],[17,21.5]],""wed"":[[11.5,15],[17,21.5]],""thu"":[[11.5,15],[17,21.5]],""fri"":[[11.5,15],[17,22]],""sat"":[[11.5,15],[17,22]],""sun"":[[11.5,15],[17,21.5]]}","1300 Main St, Napa","Family friendly. Dinner is the move.",false,[],,"[""asian""]",,false,true,true,false,Downtown,,,,,3,2026-04-20,active
dragonvalley,Dragon Valley,Chinese,"[""lunch"",""dinner""]",1,true,true,Fast,"{""mon"":[[11,15],[16,21]],""tue"":[[11,15],[16,21]],""wed"":[[11,15],[16,21]],""thu"":[[11,15],[16,21]],""fri"":[[11,15],[16,21]],""sat"":[[11,15],[16,21]],""sun"":[[11,15],[16,21]]}","1675 Trancas St, Napa","Best Chinese in town. Gap 3–4pm daily.",false,[],,"[""asian""]",dragonvalley.png,false,true,true,false,North Napa,,,,,2,2026-04-20,active
genova,Genova's Deli,Italian Deli,"[""breakfast"",""lunch""]",1,true,true,Medium,"{""mon"":[9,18],""tue"":[9,18],""wed"":[9,18],""thu"":[9,18],""fri"":[9,18],""sat"":[9,18],""sun"":[9,17]}","1550 Trancas St, Napa","Always a line. Worth it. Grab a number when you walk in.",true,[],,"[""sandwiches""]",,false,true,true,false,North Napa,,,,,4,2026-04-20,active
modelbakery,Model Bakery,Bakery / Breakfast,"[""breakfast"",""lunch""]",1,true,true,Medium,"{""mon"":[6.5,16],""tue"":[6.5,16],""wed"":[6.5,16],""thu"":[6.5,16],""fri"":[6.5,16],""sat"":[7,16],""sun"":[7,16]}","644 1st St, Napa · Oxbow","Always a line. English muffin sandwich is the move.",true,[],,"[""breakfast""]",,false,true,true,false,Oxbow,,,,,3,2026-04-20,active
moulin,Moulin,French Bakery,"[""breakfast"",""lunch""]",2,true,true,Medium,"{""mon"":[7.5,14.5],""tue"":null,""wed"":null,""thu"":[7.5,14.5],""fri"":[7.5,14.5],""sat"":[7.5,14.5],""sun"":[7.5,14.5]}","1321 1st St, Napa","Always a line. CLOSED Tue and Wed - easy to forget.",true,"[""tue"",""wed""]",,"[""breakfast""]",,false,true,true,false,Downtown,,,,,3,2026-04-20,active
earthsbounty,Earth's Bounty,Burritos / Sandwiches,"[""breakfast"",""lunch""]",1,true,true,Fast,"{""mon"":null,""tue"":null,""wed"":null,""thu"":null,""fri"":null,""sat"":[8,12],""sun"":null}","1100 West St, Napa · Farmers Market","Mom and son vendor. Saturday market only. Burritos and sandwiches made fresh.",false,[],saturday_market_only,"[""burritos"",""sandwiches""]",earthsbounty.png,false,true,true,false,Farmers Market,,,,,4,2026-04-20,active
oenotri,Oenotri,Italian / Pizza,"[""lunch"",""dinner""]",3,true,false,Sit-down,"{""mon"":[17,21],""tue"":[17,21],""wed"":[17,21],""thu"":[17,21],""fri"":[[11.5,14.5],[17,21.5]],""sat"":[[11.5,14.5],[17,21.5]],""sun"":[16,20.5]}","1425 1st St, Napa","Downtown date-night pizza and pasta choice with strong reviews. Better for sit-down than quick takeout.",false,[],,"[""pizza""]",,false,true,true,true,Downtown,707-252-1022,https://www.oenotri.com,,,3,2026-04-13,active
bountyhunter,Bounty Hunter Wine Bar & Smokin' BBQ,BBQ / American,"[""lunch"",""dinner""]",2,true,true,Medium,"{""mon"":[11,20],""tue"":[11,20],""wed"":[11,20],""thu"":[11,20],""fri"":[11,21],""sat"":[11,21],""sun"":[11,20]}","975 1st St, Napa","A reliable downtown BBQ option when the family wants something hearty and easy to share.",false,[],,"[""sandwiches"",""burgers""]",,false,true,true,false,Downtown,707-226-3976,https://www.bountyhunterwinebar.com,,,2,2026-04-13,active
